"no","id","symbol","name","date_achat","montant","portefeuille","wallet","exchange","date_verification","observation"
"15595","metis-token","metis","Metis Token","2021-12-31","48.007069797982","1.39146","Binance Web3",,"2026-05-19",
"3476","mass-vehicle-ledger","mvl","MVL",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2484","ergo","erg","Ergo",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"50891","fartcoin","fartcoin","Fartcoin",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"23547","concordium","ccd","Concordium",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"6905","pirate-chain","arrr","Pirate Chain",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"69","monero","xmr","Monero","1970-01-01","0","0",,,"1970-01-01",
"39901","kaia","kaia","Kaia","1970-01-01","0","0",,,"1970-01-01",
"34755","gigachad-2","giga","Gigachad",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35801","kamino","kmno","Kamino",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13079","conflux-token","cfx","Conflux","1970-01-01","0","0",,,"1970-01-01","

"
"8825","prometeus","prom","Prometeus","1970-01-01","0","0",,,"1970-01-01",
"15628","mina-protocol","mina","Mina Protocol",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5217","dusk-network","dusk","DUSK Network","2024-06-26","0.287434232738","202.69118335","Rabby EWC BSC",,"2026-05-06",
"17233","immutable-x","imx","Immutable X","2024-03-28","2.319020762093","108.7352","Rabby EWC Immutable ZKEVM",,"2026-04-23","100 IMX staked à 9,06% sur https://imx.community/staking?t=stake
1 NFT acheté pour pouvoir être éligible à l'APY
visible sur https://tokentrove.com/collection/GodsUnchainedCosmetics?tab=wallet"
"15687","apenft","nft","APENFT","1970-01-01","0","0",,,"1970-01-01","TMih68sQxDDGsXwh2vKWfaLrZnjzeeZ6rt"
"14495","internet-computer","icp","Internet Computer","2024-05-01","11.95486040277","84.1771","Plug Wallet (Extension Chrome)",,"2026-04-21","80 ICP en staking sur https://waterneuron.fi/ à 16,7% APY
(6 mois de délai pour unstake sans frais)"
"15174","chia","xch","Chia",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28624","flare-networks","flr","Flare",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5992","gemini-dollar","gusd","Gemini Dollar",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"52302","alchemist-ai","alch","Alchemist AI",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4639","bifrost","bfc","Bifrost",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"14899","kyber-network-crystal","knc","Kyber Network Crystal",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31079","first-digital-usd","fdusd","First Digital USD","1970-01-01","0","0",,,"1970-01-01",
"10366","smooth-love-potion","slp","Smooth Love Potion",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13256","api3","api3","API3","1970-01-01","0","0",,,"1970-01-01",
"15279","casper-network","cspr","Casper Network",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"11090","celo","celo","Celo","1970-01-01","0","0",,,"1970-01-01","Acheté pour alimenter la blockchain Celo"
"22506","pocket-network","pokt","Pocket Network",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12390","alchemy-pay","ach","Alchemy Pay",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12493","gala","gala","Gala","1970-01-01","0","0",,,"1970-01-01",
"17117","coin98","c98","Coin98",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5111","beldex","bdx","Beldex",NULL,NULL,NULL,NULL,NULL,NULL,NULL
