"no","id","symbol","name","date_achat","montant","portefeuille","wallet","exchange","date_verification","observation"
"863","0x","zrx","0x","1970-01-01","0","0",,,"1970-01-01",
"613","ark","ark","Ark","1970-01-01","0","0",,,"1970-01-01","

"
"33453","notcoin","not","Notcoin",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"677","basic-attention-token","bat","Basic Attention Token","1970-01-01","0","0",,,"1970-01-01","Adresse portefeuille récompenses BAT : 0xF105f702E0eB62d8FA23a4974262B80bccb6Ed24"
"869","propy","pro","Propy","1970-01-01","0","0",,,"1970-01-01",
"825","binancecoin","bnb","Binance Coin","2019-07-09","510.02787191629","8.98281884","Voir Fichier Excel","Voir Fichier Excel","2026-03-19","Rabby EWC BSC
Lista DAO (https://lista.org/liquid-staking/BNB) 0,7941 BNB disponibles le 25/04/26"
"12632","pancakeswap-token","cake","PancakeSwap","1970-01-01","0","0",,,"1970-01-01",
"50648","deep","deep","DeepBook",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1","bitcoin","btc","Bitcoin","2018-03-25","11763.7717813172","1.00305831","Voir fichier Excel","Voir fichier Excel","2026-04-21","Adresses Blockchain :
bc1q6nke68rdx4wss4zqy57a2g3jkywfu0lqn7p9jk (0,80022151)
bc1qwwhnxlgzd57rpcspxzn8urmkn5dnqjd08x4jd7 (0,18979207)
bc1q0upukcs7stamuvv3w7rad3gg8dyxt7ym8c27yu (0,01)

Electrum
Lancer en console avec la commande (à partir de Téléchargements) : 
python3 ~/Téléchargements/Electrum-4.7.0/run_electrum


"
"780","bitcoin-cash","bch","Bitcoin Cash","2023-08-05","422.873732807466","0.69222036","Electron Cash",,"2026-05-23",
"21061","biconomy","bico","Biconomy",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"975","cardano","ada","Cardano","1970-01-01","0","0",,,"1970-01-01",
"877","chainlink","link","ChainLink","2024-03-03","16.503113704897","56.44715509","Rabby Principal Arbitrum",,"2026-04-05","Placés en lending sur Dolomite à 1,21%
https://app.dolomite.io/earn"
"1481","cosmos","atom","Cosmos","2021-12-11","10.724754431226","4.653845","Keplr Leger Cosmos Hub",,"2026-05-05","3,49 ATOM sur BKEX non comptabilisés
https://bkex.zendesk.com/hc/en-us/articles/19022106904729

Voir le Yield ATOM-DATOM sur
https://app.osmosis.zone/pools

"
"20582","aurora-near","aurora","Aurora","1970-01-01","0","0",,,"1970-01-01",
"24413","stargate-finance","stg","Stargate Finance","1970-01-01","0","0",,,"1970-01-01",
"7310","crypto-com-chain","cro","Crypto.com Coin","2023-03-20","0.107944280642","7481.22",,"Cryptobanque","2026-06-10","5876 CRO en staking pour avoir les 2% de cashback 
1600 CRO en staking à 5,22% 
29 jours de délai d'unstaking
"
"9956","dai","dai","Dai","1970-01-01","0","0","Voir Fichier Excel","Voir FIchier Excel","1970-01-01",
"878","decentraland","mana","Decentraland","1970-01-01","0","0",,,"1970-01-01","Il n’est pas possible de miner du Decentraland ou de faire du staking sur la plateforme. "
"329","decred","dcr","Decred","1970-01-01","0","0",,,"1970-01-01","Adresse blockchain : DsXn9dWQXGGeRUPyeEJUXVmu8gookbRuGzq
"
"63","digibyte","dgb","DigiByte","1970-01-01","0","0",,,"1970-01-01",
"69816","kgen","kgen","KGeN",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5","dogecoin","doge","Dogecoin","2023-01-29","0.084248539381","17191.92","Exodus - Linux PCVert Doge",,"2026-06-14",
"54919","sosovalue","soso","SoSoValue",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1109","electroneum","etn","Electroneum","1970-01-01","0","0",,,"1970-01-01","Il reste 4,8 ETN sur le wallet le 28 mars 2025, jour de la suppression de l'ETN du fichier excel (valeur 0,01 €)
Appli Web ou Android : https://my.electroneum.com/

Nouvelle adresse publique suite à migration :
0x8E6CAc52Dcfa25c9888A0F5A018901d2b34b37C0

Le Wallet Android est un custodial wallet (comme un exchange)

Pour avoir un private key utiliser le Desktop GUI Wallet
(https://github.com/andrepatta/etn-desktop-wallet/releases/tag/v1.0-beta.0)
"
"34057","virtual-protocol","virtual","Virtuals Protocol",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1102","enjincoin","enj","Enjin Coin","1970-01-01","0","0",,,"1970-01-01",
"279","ethereum","eth","Ethereum","1970-01-01","0","0","Voir fichier Excel","Voir fichier Excel","1970-01-01",
"453","ethereum-classic","etc","Ethereum Classic","1970-01-01","0","0",,,"1970-01-01",
"5010","everipedia","iq","Everipedia","1970-01-01","0","0",,,"1970-01-01","
"
"25380","usdd","usdd","USDD",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"542","golem","glm","Golem","1970-01-01","0","0",,,"1970-01-01",
"19785","ethereum-name-service","ens","Ethereum Name Service","2024-06-12","18.818999316125","5.0366019","Rabby EWC Ethereum",,"2026-04-24",
"3406","havven","snx","Synthetix Network Token","1970-01-01","0","0",,,"1970-01-01",
"3348","holotoken","hot","Holo","1970-01-01","0","0",,,"1970-01-01",
"1060","icon","icx","ICON","1970-01-01","0","0",,,"1970-01-01","
"
"692","iota","miota","IOTA","1970-01-01","0","0",,,"1970-01-01","Adresse Blockchain : iota1qp0q65nk6udqz8rjsl0az6606ysjpxfrgssc5eq6mj4c7rwvr0zvqggfezw
"
"4128","solana","sol","Solana","2026-02-03","76.154263644147","105.00253154","Phantom Wallet Compte 1(105)+Phantom Wallet Compte 2(0,01)",,"2026-06-11","49,95 SOL en staking directement sur le Phantom Wallet (PSOL) (6,11%)
49,61 SOL en staking directement sur le Jupiter Wallet (JPSOL)

Pour voir le staking cliquer sur le token SOLANA
Simuler le swap PSOL-SOL pour voir le montant de SOL en staking"
"53640","redstone-oracles","red","RedStone",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"38043","zksync","zk","ZKsync",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31924","pyth-network","pyth","Pyth Network","2024-04-21","0.625534742051","1151.57282","Phantom Wallet",,"2026-04-18","1000 PYTH stakés sur https://staking.pyth.network/ (APY 8%)
Oracle Integrity Staking (OIS)"
"26455","aptos","apt","Aptos","1970-01-01","0","0",,,"1970-01-01",
"52230","banana-for-scale-2","bananas31","Banana For Scale",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1047","kucoin-shares","kcs","KuCoin Shares","2026-03-03","6.545710742252","44.715","Rabby PlayToEarn Ethereum",,"2026-05-30",
"2","litecoin","ltc","Litecoin","1970-01-01","0","0",,,"1970-01-01",
"7137","livepeer","lpt","Livepeer","2024-06-21","15.027679748773","4.13096021","Rabby EWC Arbitrum",,"2026-04-29","stakés sur https://explorer.livepeer.org/accounts/0x6Af84B23CA509cA4D76E5e51917Cf222677339A8/delegating"
"3370","quant-network","qnt","Quant","2022-11-09","112.031685058402","10.13800984","Rabby Principal Ethereum",,"2026-05-24",
"480","neo","neo","NEO","1970-01-01","0","0",,,"1970-01-01",
"16724","osmosis","osmo","Osmosis","1970-01-01","0","0",,,"1970-01-01",
"684","qtum","qtum","Qtum",NULL,NULL,"0",NULL,NULL,NULL,NULL
"3447","ontology","ont","Ontology","1970-01-01","0","0",,,"1970-01-01",
"55616","vaulta","a","Vaulta",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35494","blast","blast","Blast",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"11955","dia-data","dia","DIA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8284","terra-luna","lunc","Terra Luna Classic","1970-01-01","0","0",,,"1970-01-01","
"
"17569","joe","joe","JOE","2022-04-25","0","0","Metamask Ledger :  Blockchain Avalanche",,"2022-09-12","Récompenses de farming (0,576) Non intégré car solde inférieur à 1 euro"
"1031","request-network","req","Request","1970-01-01","0","0",,,"1970-01-01",
"289","siacoin","sc","Siacoin","1970-01-01","0","0",,,"1970-01-01","Blockchain Wallet adresses :
f71511838469d56ae75069bff56b14752409b2854ede192a1be850a2674e25dbdea880a929be
99ec09827e2f26c67afb7abd20049f9f263b3fdb6363d94b0f0d268bda1199311ccd762465ef

"
"100","stellar","xlm","Stellar","1970-01-01","0","0",,,"1970-01-01","Adresse blockchain : GBONWD6XMGD73M6PBSYEJEOFOWCGHMOS7FXEL5JB2Q6ETLVYM7DLPFJ6
Activer l'appli Stellar sur le ledger pour activer le wallet Ledger Account Viewer"
"54912","four","form","Four","1970-01-01","0","0",,,"1970-01-01",
"949","storj","storj","Storj","1970-01-01","0","0",,,"1970-01-01",
"325","tether","usdt","Tether","2026-06-13","0.8754","448.74766236","Voir Fichier Excel","Voir Fichier Excel","1970-01-01",
"1094","tron","trx","TRON","1970-01-01","0","0",,,"1970-01-01","Tronlink:
TUv4N9swkh7Zb7yh864r7oSqVaah5Pj2HV

Atomic Tron Blockchain :
TMih68sQxDDGsXwh2vKWfaLrZnjzeeZ6rt

Exodus Tron Blockchain :
TL3ZXWrLh9TrQ7jJnytYK5udY7Jm6USQr2"
"68423","sapien-2","sapien","Sapien","1970-01-01","0","0",,,"1970-01-01",
"68061","somnia","somi","Somnia","2025-09-02","0.000000000001","6.65523163","Rabby EWC SOMI",,"2026-04-15","Launchpad
Visible sur https://explorer.somnia.network/address/0x6Af84B23CA509cA4D76E5e51917Cf222677339A8
Échangeables contre de l'usdc sur
https://somnex.xyz/#/swap/0x0000000000000000000000000000000000000000/0x28bec7e30e6faee657a03e19bf1128aad7632a00"
"6319","usd-coin","usdc","USD Coin","2025-04-25","0.852790238279","1318.62","Voir Fichier Excel","Voir Fichier Excel","2026-03-19",
"1167","vechain","vet","VeChain","1970-01-01","0","0",,,"1970-01-01","Adresse Blockchain : 0x21d64E09D48571F438077801313b20278C3AF0c1
Les récompenses de holding sont en VTHO
"
"203","verge","xvg","Verge","2024-05-28","0.00508076","1000.438754",,"MEXC","2026-03-31",
"425","waves","waves","Waves","1970-01-01","0","0",,,"1970-01-01",
"28660","venom","venom","Venom",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1372","wax","waxp","WAX",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"691","zencash","zen","Horizen","1970-01-01","0","0",,,"1970-01-01",
"24210","chain-2","xcn","Chain","1970-01-01","0","0",,,"1970-01-01",
"50236","catizen","cati","Catizen","1970-01-01","0","0",,,"1970-01-01","Launchpad Binance"
"19155","ssv-network","ssv","SSV Network","1970-01-01","0","0",,,"1970-01-01",
"1371","aelf","elf","aelf","2024-01-15","0.5963896775","340.236705","Rabby EWC Ethereum",,"2026-03-15",
"4380","algorand","algo","Algorand","1970-01-01","0","0",,,"1970-01-01","Adresse Blockchain Pera Wallet : NPV4A6ZY3HSJSL542JGZOF66AQJMODWG7YWP7LRR43DCIVJH4UCGKWWPYY"
"38019","debridge","dbr","deBridge",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"525","ardor","ardr","Ardor",NULL,NULL,"0",NULL,NULL,NULL,NULL
"14796","zignaly","zig","ZIGChain","2025-12-07","0.047771572521","826.7937259","Rabby EWC BSC",,"2026-06-13",
"4645","constellation-labs","dag","Constellation","1970-01-01","0","0",,,"1970-01-01",
"19","dash","dash","Dash",NULL,NULL,"0",NULL,NULL,NULL,NULL
"3688","hedera-hashgraph","hbar","Hedera Hashgraph","1970-01-01","0","0",,,"1970-01-01",
"2523","iostoken","iost","IOST",NULL,NULL,"0",NULL,NULL,NULL,NULL
"385","lisk","lsk","Lisk",NULL,NULL,"0",NULL,NULL,NULL,NULL
"913","loopring","lrc","Loopring","1970-01-01","0","0",,,"1970-01-01",
"30061","wrapped-beacon-eth","wbeth","Wrapped Beacon ETH",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4001","fantom","ftm","Fantom",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28206","layerzero","zro","LayerZero",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"40132","binance-staked-sol","bnsol","Binance Staked SOL",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3412","ravencoin","rvn","Ravencoin","1970-01-01","0","0",,,"1970-01-01",
"68227","bfusd","bfusd","BFUSD",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"44","ripple","xrp","XRP","2026-02-15","1.242061799632","6126.6494","Ledger XRP",,"2026-05-15",
"24384","cow-protocol","cow","CoW Protocol",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"779","status","SNT","Status",NULL,NULL,"0",NULL,NULL,NULL,NULL
"398","steem","steem","Steem",NULL,NULL,"0",NULL,NULL,NULL,NULL
"976","tezos","xtz","Tezos","1970-01-01","0","0",,,"1970-01-01",
"2538","theta-token","theta","Theta Network","1970-01-01","0","0",,,"1970-01-01","Adresse Blockchain : 0x32E6718ca566f8F2cAe2759859e77Cbba751C304
(THETA Wallet)

"
"486","zcash","zec","Zcash","2026-02-07","196.452185675262","0.81182896","YWallet",,"2026-05-07","Wallet client lourd Ubuntu"
"2069","blockstack","stx","Blockstack","1970-01-01","0","0",,,"1970-01-01","Blockchain Leather Wallet 1 : SP3ESGY4K3YRH6EFBWDEP4MAJ6DD3PBZK9MSQKFPM
Blockchain Leather Wallet 2 : SP17SPFZJP8VX82F2FEWKV2DYEW13D54518V9R7E1
"
"51232","syrup","syrup","Maple Finance",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8834","chiliz","chz","Chiliz","1970-01-01","0","0",,,"1970-01-01",
"4713","matic-network","matic","Matic Network","1970-01-01","0","0",,,"1970-01-01",
"9026","ftx-token","ftt","FTX Token","1970-01-01","0","0",,,"1970-01-01","Liquidation (voir https://restructuring.ra.kroll.com/FTX/)
Mail du 7 juillet indiquant que le FTT ne seraient pas remboursés.
Your Unique Customer Code is 00511953
Your claim(s) were scheduled on the Schedules and Statements of FTX Trading Ltd. as:
BTC[0.0046921922585850]
ETH[0.0001272000000000]
FTT[4.0385844700000000]
LEO[180.4406826100000000]
SAND[38.1903678000000000]
SHIB[21656708.8565932200000000]
USD[0.6812789533346375]
XAUT[0.0000000060000000]"
"9566","nervos-network","ckb","Nervos Network","1970-01-01","0","0",,,"1970-01-01",
"752","numeraire","nmr","Numeraire","1970-01-01","0","0",,,"1970-01-01",
"8029","theta-fuel","tfuel","Theta Fuel","1970-01-01","0","0",,,"1970-01-01","Blockchain : 0x32E6718ca566f8F2cAe2759859e77Cbba751C304
Staking Minimum 10000 TFUEL"
"5230","vethor-token","vtho","VeThor Token","1970-01-01","0","0",,,"1970-01-01",
"50882","hyperliquid","hype","Hyperliquid",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"32528","memecoin-2","meme","Memecoin","1970-01-01","0","0",,,"1970-01-01",
"13395","bonfida","fida","Bonfida",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"22617","astar","astr","Astar","1970-01-01","0","0",,"Gate.io","1970-01-01",
"13442","staked-ether","steth","Staked Ether","2026-04-08","1938.17565979503","0.44972974","Rabby AvaxWallet Ethereum(0.24731572)+Rabby Phantom_Ethereum Ethereum(0,20241402)",,"2026-04-10",
"9761","kava","kava","Kava",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"662","gnosis","gno","Gnosis","2024-05-20","267.196051772529","0.63810068","Rabby EWC Ethereum",,"2026-04-26",
"8365","reserve-rights-token","rsr","Reserve Rights Token","1970-01-01","0","0",,,"1970-01-01",
"10481","tether-gold","xaut","Tether Gold","1970-01-01","0","0",,,"1970-01-01",
"6595","thorchain","rune","Thorchain","1970-01-01","0","0",,,"1970-01-01",
"11939","shiba-inu","shib","Shiba Inu","2026-03-05","0.000004869164","275881136","Rabby AvaxWallet Ethereum(247.120.991)+Rabby Airdrops Ethereum(13.452.679)+Rabby Phantom_Ethereum Ethereum(15307466)",,"2026-03-19",
"55294","skyai","skyai","SkyAI",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"19252","clearpool","cpool","Clearpool",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"15861","spell-token","spell","Spell Token","1970-01-01","0","0",,,"1970-01-01",
"10840","hive","hive","Hive","1970-01-01","0","0",,,"1970-01-01",
"9545","band-protocol","band","Band Protocol","1970-01-01","0","0",,,"1970-01-01",
"11610","bitget-token","bgb","Bitget Token","2026-04-16","1.719669266683","304.87419801","Rabby Airdrops Ethereum(146.41783793)+Rabby Principal Ethereum(158.45636008)",,"2026-05-31",
"16746","floki-inu","floki","Floki Inu","2022-12-13","0.000111166312","1612517.17362269","Rabby Ledger BSC(965194,42362269)+Rabby EWC BSC(647322,75)",,"2026-03-20",
"39651","ripple-usd","rlusd","Ripple USD",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"39200","g-token","g","Gravity","2024-07-20","0.054564154829","2306.70940819","Rabby EWC BSC",,"2026-04-13",
"10951","uma","uma","UMA","1970-01-01","0","0",,,"1970-01-01",
"16840","railgun","rail","Railgun","2024-09-04","1.575891610628","24.30573147","Rabby Principal : Ethereum(3,00310082) + Rabby Airdrops Ethereum (21,30263065)",,"2026-03-25","24 stakés sur 
https://rail.governance.fi/
unloking 30 jours

A voir (utilisation de l'anonymat via railgun)
https://www.youtube.com/watch?v=ja9Fj2mUDSQ

3 RAIL unlocked le 22 mai 2026 (30 jours de délai)
21 RAIL unlocked le 25 mai 2026 (30 jours de délai)"
"27032","safe","safe","Safe",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12409","amp-token","amp","Amp","1970-01-01","0","0",,,"1970-01-01",
"10775","compound-governance-token","comp","Compound","1970-01-01","0","0",,,"1970-01-01",
"11849","yearn-finance","yfi","yearn.finance",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"52622","pudgy-penguins","pengu","Pudgy Penguins","1970-01-01","0","0",,,"1970-01-01",
"37869","subsquid","sqd","SQD",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"9519","pax-gold","paxg","PAX Gold","1970-01-01","0","0",,,"1970-01-01",
"10886","energy-web-token","ewt","Energy Web Token","1970-01-01","0","0",,,"1970-01-01",
"12171","polkadot","dot","Polkadot","1970-01-01","0","0",,,"1970-01-01","Multichain porfolio :
https://portfolio.subscan.io/account/15PgmMcPW5fcsu9YT62iytdHTSSSe6zqCwaiGs5rM3R31iqu

0,01 DOT sur la blockchain AssetHub :
Adresse 5GTPd2MKeJQ9SN92VSyiqjo8bpSnwoSh8SrE7a6VnxPWqCSU

"
"11095","just","jst","JUST","1970-01-01","0","0",,,"1970-01-01","Lending possible sur JustLend mais APR trop faible (0,29%)"
"4284","helium","hnt","Helium","1970-01-01","0","0",,,"1970-01-01",
"23597","stepn","gmt","STEPN","1970-01-01","0","0",,,"1970-01-01",
"69096","zero-gravity","0g","0G","1970-01-01","0","0",,,"1970-01-01",
"12124","curve-dao-token","crv","Curve DAO Token","1970-01-01","0","0",,,"1970-01-01",
"69414","giggle-fund","giggle","Giggle Fund",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12817","filecoin","fil","Filecoin",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12645","aave","aave","Aave [New]","1970-01-01","0","0",,,"1970-01-01",
"12271","sushi","sushi","Sushi",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4343","arweave","ar","Arweave","2024-05-30","29.618137176473","9.75036","Wander Wallet",,"2026-04-19",
"7598","wrapped-bitcoin","wbtc","Wrapped Bitcoin","1970-01-01","0","0",,,"1970-01-01",
"12335","elrond-erd-2","egld","MultiversX","1970-01-01","0","0",,,"1970-01-01",
"28161","across-protocol","acx","Across Protocol",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36179","aethir","ath","Aethir",NULL,NULL,NULL,NULL,NULL,NULL,NULL
